target,discovered,wrong letters,number of hits,lives remaining,game won
begrudges,"['b', 'e', 'g', 'r', 'u', 'd', 'g', 'e', 's']",[],9,10,True
omegas,"['o', 'm', 'e', 'g', 'a', 's']",[],6,10,True
caliphate,"['c', 'a', 'l', 'i', 'p', 'h', 'a', 't', 'e']",[],9,10,True
sarsaparillas,"['s', 'a', 'r', 's', 'a', 'p', 'a', 'r', 'i', 'l', 'l', 'a', 's']",['e'],13,9,True
retook,"['r', 'e', 't', 'o', 'o', 'k']","['a', 'i']",6,8,True
rafter,"['r', 'a', 'f', 't', 'e', 'r']","['d', 's', 'o']",6,7,True
declassify,"['d', 'e', 'c', 'l', 'a', 's', 's', 'i', 'f', 'y']",['n'],10,9,True
hyaenas,"['h', 'y', 'a', 'e', 'n', 'a', 's']","['t', 'd']",7,8,True
limping,"['l', 'i', 'm', 'p', 'i', 'n', 'g']","['e', 't']",7,8,True
cocoanut,"['c', 'o', 'c', 'o', 'a', 'n', 'u', 't']","['e', 'i', 's', 'l']",8,6,True
prematurely,"['p', 'r', 'e', 'm', 'a', 't', 'u', 'r', 'e', 'l', 'y']","['s', 'i']",11,8,True
lentils,"['l', 'e', 'n', 't', 'i', 'l', 's']",[],7,10,True
releases,"['r', 'e', 'l', 'e', 'a', 's', 'e', 's']",['d'],8,9,True
doddering,"['d', 'o', 'd', 'd', 'e', 'r', 'i', 'n', 'g']","['t', 'm']",9,8,True
dozens,"['d', 'o', 'z', 'e', 'n', 's']","['r', 'l', 'y', 't', 'm']",6,5,True
sprawled,"['s', 'p', 'r', 'a', 'w', 'l', 'e', 'd']","['t', 'c', 'i', 'g']",8,6,True
upgrades,"['u', 'p', 'g', 'r', 'a', 'd', 'e', 's']","['i', 'o']",8,8,True
bleakness,"['b', 'l', 'e', 'a', 'k', 'n', 'e', 's', 's']",[],9,10,True
ampler,"['a', 'm', 'p', 'l', 'e', 'r']","['d', 's', 'i', 't', 'g']",6,5,True
smithy,"['s', 'm', 'i', 't', 'h', 'y']","['e', 'a', 'n']",6,7,True
ranger,"['r', 'a', 'n', 'g', 'e', 'r']","['d', 's', 'o', 't', 'p']",6,5,True
prenatal,"['p', 'r', 'e', 'n', 'a', 't', 'a', 'l']","['i', 's']",8,8,True
shopkeeper,"['s', 'h', 'o', 'p', 'k', 'e', 'e', 'p', 'e', 'r']",[],10,10,True
wriggled,"['w', 'r', 'i', 'g', 'g', 'l', 'e', 'd']","['s', 'p', 'z', 'c']",8,6,True
revivify,"['r', 'e', 'v', 'i', 'v', 'i', 'f', 'y']","['n', 's', 't']",8,7,True
snaffles,"['s', 'n', 'a', 'f', 'f', 'l', 'e', 's']","['i', 't', 'u']",8,7,True
compels,"['c', 'o', 'm', 'p', 'e', 'l', 's']","['r', 't']",7,8,True
hunchback,"['h', 'u', 'n', 'c', 'h', 'b', 'a', 'c', 'k']","['e', 'i', 'o', 's']",9,6,True
ridging,"['r', 'i', 'd', 'g', 'i', 'n', 'g']",['e'],7,9,True
foghorn,"['f', 'o', 'g', 'h', 'o', 'r', 'n']","['e', 'i', 'a', 's', 'c']",7,5,True
steeple,"['s', 't', 'e', 'e', 'p', 'l', 'e']",[],7,10,True
chitchats,"['c', 'h', 'i', 't', 'c', 'h', 'a', 't', 's']",['e'],9,9,True
strain,"['s', 't', 'r', 'a', 'i', 'n']",['e'],6,9,True
hounded,"['h', 'o', 'u', 'n', 'd', 'e', 'd']","['s', 'm', 'f', 'w', 'p']",7,5,True
torsi,"['t', 'o', 'r', 's', 'i']",['e'],5,9,True
laze,"['l', 'a', 'z', 'e']","['t', 'm', 'n', 'k', 'd']",4,5,True
nightshirts,"['n', 'i', 'g', 'h', 't', 's', 'h', 'i', 'r', 't', 's']",['e'],11,9,True
ogres,"['o', 'g', 'r', 'e', 's']","['a', 'i', 'l']",5,7,True
preceptor,"['p', 'r', 'e', 'c', 'e', 'p', 't', 'o', 'r']",[],9,10,True
prolong,"['p', 'r', 'o', 'l', 'o', 'n', 'g']","['e', 'i', 'a', 't']",7,6,True
muckraker,"['m', 'u', 'c', 'k', 'r', 'a', 'k', 'e', 'r']","['s', 'd']",9,8,True
pledges,"['p', 'l', 'e', 'd', 'g', 'e', 's']",[],7,10,True
standoffs,"['s', 't', 'a', 'n', 'd', 'o', 'f', 'f', 's']","['e', 'i']",9,8,True
blinking,"['b', 'l', 'i', 'n', 'k', 'i', 'n', 'g']","['e', 't', 's']",8,7,True
comparatively,"['c', 'o', 'm', 'p', 'a', 'r', 'a', 't', 'i', 'v', 'e', 'l', 'y']",[],13,10,True
curtained,"['c', 'u', 'r', 't', 'a', 'i', 'n', 'e', 'd']",['s'],9,9,True
menials,"['m', 'e', 'n', 'i', 'a', 'l', 's']",[],7,10,True
obduracy,"['o', 'b', 'd', 'u', 'r', 'a', 'c', 'y']","['e', 'i', 't']",8,7,True
marauds,"['m', 'a', 'r', 'a', 'u', 'd', 's']","['e', 'i', 'o']",7,7,True
alphabetic,"['a', 'l', 'p', 'h', 'a', 'b', 'e', 't', 'i', 'c']",['s'],10,9,True
marauding,"['m', 'a', 'r', 'a', 'u', 'd', 'i', 'n', 'g']","['e', 'o']",9,8,True
slenderises,"['s', 'l', 'e', 'n', 'd', 'e', 'r', 'i', 's', 'e', 's']",[],11,10,True
pragmatism,"['p', 'r', 'a', 'g', 'm', 'a', 't', 'i', 's', 'm']","['e', 'n']",10,8,True
mammon,"['m', 'a', 'm', 'm', 'o', 'n']","['e', 's', 'i', 'r', 'l']",6,5,True
extensional,"['e', 'x', 't', 'e', 'n', 's', 'i', 'o', 'n', 'a', 'l']",[],11,10,True
volatility,"['v', 'o', 'l', 'a', 't', 'i', 'l', 'i', 't', 'y']","['e', 'n']",10,8,True
backless,"['b', 'a', 'c', 'k', 'l', 'e', 's', 's']","['n', 't', 'r']",8,7,True
compile,"['c', 'o', 'm', 'p', 'i', 'l', 'e']","['a', 'n']",7,8,True
weeper,"['w', 'e', 'e', 'p', 'e', 'r']",['d'],6,9,True
summarises,"['s', 'u', 'm', 'm', 'a', 'r', 'i', 's', 'e', 's']",[],10,10,True
inessential,"['i', 'n', 'e', 's', 's', 'e', 'n', 't', 'i', 'a', 'l']",[],11,10,True
repudiations,"['r', 'e', 'p', 'u', 'd', 'i', 'a', 't', 'i', 'o', 'n', 's']",[],12,10,True
arthritics,"['a', 'r', 't', 'h', 'r', 'i', 't', 'i', 'c', 's']","['e', 'n']",10,8,True
lipids,"['l', 'i', 'p', 'i', 'd', 's']","['e', 'a', 'o', 'm']",6,6,True
musts,"['m', 'u', 's', 't', 's']","['e', 'g']",5,8,True
manner,"['m', 'a', 'n', 'n', 'e', 'r']","['d', 's', 'i', 't']",6,6,True
ride,"['r', 'i', 'd', 'e']","['a', 'o', 'l', 't', 'm', 'f', 'p']",4,3,True
slovens,"['s', 'l', 'o', 'v', 'e', 'n', 's']","['r', 't', 'd']",7,7,True
nosed,"['n', 'o', 's', 'e', 'd']",[],5,10,True
grimness,"['g', 'r', 'i', 'm', 'n', 'e', 's', 's']",['t'],8,9,True
ad,"['a', 'd']","['o', 's', 't', 'm', 'n', 'y', 'h']",2,3,True
attitudinise,"['a', 't', 't', 'i', 't', 'u', 'd', 'i', 'n', 'i', 's', 'e']",[],12,10,True
leftie,"['l', 'e', 'f', 't', 'i', 'e']","['r', 'd']",6,8,True
saloons,"['s', 'a', 'l', 'o', 'o', 'n', 's']","['e', 'i']",7,8,True
boorish,"['b', 'o', 'o', 'r', 'i', 's', 'h']","['e', 'n', 'k']",7,7,True
guarantees,"['g', 'u', 'a', 'r', 'a', 'n', 't', 'e', 'e', 's']",[],10,10,True
frightens,"['f', 'r', 'i', 'g', 'h', 't', 'e', 'n', 's']",[],9,10,True
manicure,"['m', 'a', 'n', 'i', 'c', 'u', 'r', 'e']",['t'],8,9,True
seamless,"['s', 'e', 'a', 'm', 'l', 'e', 's', 's']",[],8,10,True
disintegration,"['d', 'i', 's', 'i', 'n', 't', 'e', 'g', 'r', 'a', 't', 'i', 'o', 'n']",[],14,10,True
misread,"['m', 'i', 's', 'r', 'e', 'a', 'd']",['l'],7,9,True
forages,"['f', 'o', 'r', 'a', 'g', 'e', 's']","['i', 'l', 't', 'm']",7,6,True
oxymoron,"['o', 'x', 'y', 'm', 'o', 'r', 'o', 'n']","['e', 'i', 'a']",8,7,True
battier,"['b', 'a', 't', 't', 'i', 'e', 'r']","['s', 'd', 'n', 'f']",7,6,True
capitalise,"['c', 'a', 'p', 'i', 't', 'a', 'l', 'i', 's', 'e']",['n'],10,9,True
remember,"['r', 'e', 'm', 'e', 'm', 'b', 'e', 'r']","['d', 't']",8,8,True
overbooking,"['o', 'v', 'e', 'r', 'b', 'o', 'o', 'k', 'i', 'n', 'g']",['l'],11,9,True
barfed,"['b', 'a', 'r', 'f', 'e', 'd']","['t', 'l', 'g']",6,7,True
immersed,"['i', 'm', 'm', 'e', 'r', 's', 'e', 'd']","['n', 'a']",8,8,True
microcosms,"['m', 'i', 'c', 'r', 'o', 'c', 'o', 's', 'm', 's']",['e'],10,9,True
paediatrics,"['p', 'a', 'e', 'd', 'i', 'a', 't', 'r', 'i', 'c', 's']",[],11,10,True
shorelines,"['s', 'h', 'o', 'r', 'e', 'l', 'i', 'n', 'e', 's']",['t'],10,9,True
hedonistic,"['h', 'e', 'd', 'o', 'n', 'i', 's', 't', 'i', 'c']",['l'],10,9,True
