target,discovered,wrong letters,number of hits,lives remaining,game won
moderates,"['m', '_', 'd', 'e', '_', 'a', '_', 'e', '_']","['b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l', 'n']",5,0,False
sycophantic,"['_', '_', 'c', 'o', 'p', 'h', 'a', 'n', '_', 'i', 'c']","['b', 'd', 'e', 'f', 'g', 'j', 'k', 'l', 'm', 'q']",8,0,False
dictionaries,"['d', 'i', 'c', '_', 'i', 'o', 'n', 'a', '_', 'i', 'e', '_']","['b', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'p', 'q']",9,0,False
melt,"['_', 'e', '_', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k']",1,0,False
turfs,"['_', '_', '_', 'f', '_']","['a', 'b', 'c', 'd', 'e', 'g', 'h', 'i', 'j', 'k']",1,0,False
conceived,"['c', 'o', 'n', 'c', 'e', 'i', '_', 'e', 'd']","['a', 'b', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'p']",8,0,False
panicking,"['p', 'a', 'n', 'i', 'c', 'k', 'i', 'n', 'g']","['b', 'd', 'e', 'f', 'h', 'j', 'l', 'm', 'o']",9,1,True
unsoundest,"['_', '_', '_', '_', '_', '_', 'd', 'e', '_', '_']","['a', 'b', 'c', 'f', 'g', 'h', 'i', 'j', 'k', 'l']",2,0,False
plowmen,"['_', '_', '_', '_', '_', 'e', '_']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'i', 'j', 'k']",1,0,False
lithium,"['l', 'i', '_', 'h', 'i', '_', 'm']","['a', 'b', 'c', 'd', 'e', 'f', 'g', 'j', 'k', 'n']",5,0,False
recombine,"['_', 'e', 'c', 'o', 'm', 'b', 'i', 'n', 'e']","['a', 'd', 'f', 'g', 'h', 'j', 'k', 'l', 'p', 'q']",8,0,False
bareheaded,"['b', 'a', '_', 'e', 'h', 'e', 'a', 'd', 'e', 'd']","['c', 'f', 'g', 'i', 'j', 'k', 'l', 'm', 'n', 'o']",9,0,False
emulsion,"['e', 'm', '_', 'l', '_', 'i', 'o', 'n']","['a', 'b', 'c', 'd', 'f', 'g', 'h', 'j', 'k', 'p']",6,0,False
funnel,"['f', '_', '_', '_', 'e', 'l']","['a', 'b', 'c', 'd', 'g', 'h', 'i', 'j', 'k', 'm']",3,0,False
decried,"['d', 'e', 'c', '_', 'i', 'e', 'd']","['a', 'b', 'f', 'g', 'h', 'j', 'k', 'l', 'm', 'n']",6,0,False
