target,discovered,wrong letters,number of hits,lives remaining,game won
xylophone,"['x', 'y', 'l', 'o', 'p', '_', 'o', 'n', '_']","['z', 'w', 'v', 'u', 't', 's', 'r', 'q', 'm', 'k']",7,0,False
attributing,"['_', 't', 't', 'r', '_', '_', 'u', 't', '_', 'n', '_']","['z', 'y', 'x', 'w', 'v', 's', 'q', 'p', 'o', 'm']",6,0,False
confirms,"['_', 'o', 'n', '_', '_', 'r', 'm', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'l']",5,0,False
tent,"['t', '_', '_', 't']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",2,0,False
mambos,"['_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
proneness,"['p', 'r', 'o', 'n', '_', 'n', '_', 's', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'm', 'l']",7,0,False
underclassman,"['u', 'n', '_', '_', 'r', '_', 'l', '_', 's', 's', 'm', '_', 'n']","['z', 'y', 'x', 'w', 'v', 't', 'q', 'p', 'o', 'k']",8,0,False
aorta,"['_', 'o', 'r', 't', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'n']",3,0,False
daguerreotyping,"['_', '_', '_', 'u', '_', 'r', 'r', '_', 'o', 't', 'y', 'p', '_', 'n', '_']","['z', 'x', 'w', 'v', 's', 'q', 'm', 'l', 'k', 'j']",8,0,False
cartilaginous,"['_', '_', 'r', 't', '_', 'l', '_', '_', '_', 'n', 'o', 'u', 's']","['z', 'y', 'x', 'w', 'v', 'q', 'p', 'm', 'k', 'j']",7,0,False
squeak,"['s', 'q', 'u', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'p', 'o', 'n']",3,0,False
strewed,"['s', 't', 'r', '_', 'w', '_', '_']","['z', 'y', 'x', 'v', 'u', 'q', 'p', 'o', 'n', 'm']",4,0,False
eliminate,"['_', '_', '_', '_', '_', '_', '_', 't', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",1,0,False
prettily,"['p', 'r', '_', 't', 't', '_', '_', 'y']","['z', 'x', 'w', 'v', 'u', 's', 'q', 'o', 'n', 'm']",5,0,False
seemed,"['s', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
moraine,"['_', '_', 'r', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'p']",1,0,False
symbolise,"['s', 'y', '_', '_', 'o', '_', '_', 's', '_']","['z', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p', 'n']",4,0,False
owlet,"['o', 'w', '_', '_', 't']","['z', 'y', 'x', 'v', 'u', 's', 'r', 'q', 'p', 'n']",3,0,False
peppered,"['p', '_', 'p', 'p', '_', 'r', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'o']",4,0,False
pornographer,"['p', 'o', 'r', 'n', 'o', '_', 'r', '_', 'p', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'm']",8,0,False
decried,"['_', '_', '_', 'r', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'p']",1,0,False
litany,"['_', '_', 't', '_', '_', 'y']","['z', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p', 'o']",2,0,False
hairbrushes,"['_', '_', '_', 'r', '_', 'r', 'u', 's', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 't', 'q', 'p', 'o', 'n']",5,0,False
torrid,"['t', 'o', 'r', 'r', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'n']",4,0,False
asserted,"['_', 's', 's', '_', 'r', 't', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'o', 'n']",4,0,False
culprit,"['_', 'u', '_', 'p', 'r', '_', 't']","['z', 'y', 'x', 'w', 'v', 's', 'q', 'o', 'n', 'm']",4,0,False
invaded,"['_', '_', 'v', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'u', 't', 's', 'r', 'q', 'p']",1,0,False
memorialised,"['_', '_', '_', 'o', 'r', '_', '_', '_', '_', 's', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'n']",3,0,False
sponger,"['s', 'p', 'o', 'n', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'm', 'l']",5,0,False
boulder,"['_', 'o', 'u', '_', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 't', 's', 'q', 'p', 'n']",3,0,False
payed,"['p', '_', 'y', '_', '_']","['z', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q', 'o']",2,0,False
barrages,"['_', '_', 'r', 'r', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'o']",3,0,False
remotest,"['r', '_', 'm', 'o', 't', '_', 's', 't']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'n', 'l']",6,0,False
bicyclists,"['_', '_', '_', 'y', '_', '_', '_', 's', 't', 's']","['z', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'o', 'n']",4,0,False
buzzards,"['_', 'u', 'z', 'z', '_', 'r', '_', 's']","['y', 'x', 'w', 'v', 't', 'q', 'p', 'o', 'n', 'm']",5,0,False
replete,"['r', '_', 'p', '_', '_', 't', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'o', 'n']",3,0,False
victualling,"['v', '_', '_', 't', 'u', '_', '_', '_', '_', 'n', '_']","['z', 'y', 'x', 'w', 's', 'r', 'q', 'p', 'o', 'm']",4,0,False
dunnest,"['_', 'u', 'n', 'n', '_', 's', 't']","['z', 'y', 'x', 'w', 'v', 'r', 'q', 'p', 'o', 'm']",5,0,False
accessible,"['_', '_', '_', '_', 's', 's', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",2,0,False
blurred,"['_', '_', 'u', 'r', 'r', '_', '_']","['z', 'y', 'x', 'w', 'v', 't', 's', 'q', 'p', 'o']",3,0,False
gratuity,"['_', 'r', '_', 't', 'u', '_', 't', 'y']","['z', 'x', 'w', 'v', 's', 'q', 'p', 'o', 'n', 'm']",5,0,False
bettors,"['_', '_', 't', 't', 'o', 'r', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'p', 'n', 'm']",5,0,False
semicolon,"['s', '_', '_', '_', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
coves,"['_', 'o', 'v', '_', 's']","['z', 'y', 'x', 'w', 'u', 't', 'r', 'q', 'p', 'n']",3,0,False
eagles,"['_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
pharmacies,"['p', '_', '_', 'r', '_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'o', 'n']",3,0,False
consumable,"['_', 'o', 'n', 's', 'u', 'm', '_', '_', 'l', '_']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'k']",6,0,False
pondering,"['p', 'o', 'n', '_', '_', 'r', '_', 'n', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'm']",5,0,False
lurking,"['_', 'u', 'r', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 't', 's', 'q', 'p', 'o']",2,0,False
consolations,"['_', 'o', 'n', 's', 'o', '_', '_', 't', '_', 'o', 'n', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'm']",8,0,False
arisen,"['_', 'r', '_', 's', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'o']",2,0,False
blearier,"['_', '_', '_', '_', 'r', '_', '_', 'r']","['z', 'y', 'x', 'w', 'v', 'u', 't', 's', 'q', 'p']",2,0,False
flattens,"['_', '_', '_', 't', 't', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'p', 'o']",3,0,False
conscious,"['_', 'o', 'n', 's', '_', '_', 'o', 'u', 's']","['z', 'y', 'x', 'w', 'v', 't', 'r', 'q', 'p', 'm']",6,0,False
collapsible,"['_', 'o', '_', '_', '_', 'p', 's', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'n']",3,0,False
disbanded,"['_', '_', 's', '_', '_', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
upraise,"['u', 'p', 'r', '_', '_', 's', '_']","['z', 'y', 'x', 'w', 'v', 't', 'q', 'o', 'n', 'm']",4,0,False
periodicals,"['p', '_', 'r', '_', 'o', '_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'n', 'm']",4,0,False
awaked,"['_', 'w', '_', '_', '_', '_']","['z', 'y', 'x', 'v', 'u', 't', 's', 'r', 'q', 'p']",1,0,False
nursemaids,"['n', 'u', 'r', 's', '_', 'm', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 't', 'q', 'p', 'o', 'l']",6,0,False
positions,"['p', 'o', 's', '_', 't', '_', 'o', 'n', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'm', 'l']",7,0,False
piggishness,"['p', '_', '_', '_', '_', 's', '_', '_', '_', 's', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'o']",4,0,False
demoted,"['_', '_', '_', '_', 't', '_', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'r', 'q', 'p']",1,0,False
forgathering,"['_', 'o', 'r', '_', '_', 't', '_', '_', 'r', '_', 'n', '_']","['z', 'y', 'x', 'w', 'v', 'u', 's', 'q', 'p', 'm']",5,0,False
alcohols,"['_', '_', '_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
sprightliness,"['s', 'p', 'r', '_', '_', '_', 't', 'l', '_', 'n', '_', 's', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'q', 'o', 'm', 'k']",8,0,False
options,"['o', 'p', 't', '_', 'o', 'n', 's']","['z', 'y', 'x', 'w', 'v', 'u', 'r', 'q', 'm', 'l']",6,0,False
fizzed,"['_', '_', 'z', 'z', '_', '_']","['y', 'x', 'w', 'v', 'u', 't', 's', 'r', 'q', 'p']",2,0,False
attributable,"['_', 't', 't', 'r', '_', '_', 'u', 't', '_', '_', '_', '_']","['z', 'y', 'x', 'w', 'v', 's', 'q', 'p', 'o', 'n']",5,0,False
angles,"['_', '_', '_', '_', '_', 's']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'r', 'q', 'p']",1,0,False
remorse,"['r', '_', '_', 'o', 'r', 's', '_']","['z', 'y', 'x', 'w', 'v', 'u', 't', 'q', 'p', 'n']",4,0,False
