target,discovered,wrong letters,number of hits,lives remaining,game won
mouldering,"['m', 'o', 'u', 'l', 'd', 'e', 'r', 'i', 'n', 'g']","['t', 'a', 'h', 's', 'w', 'c', 'y', 'f']",10,2,True
deject,"['d', 'e', '_', 'e', '_', 't']","['a', 'o', 'i', 'h', 'n', 's', 'r', 'l', 'u', 'm']",4,0,False
lipsticks,"['l', 'i', '_', 's', 't', 'i', '_', '_', 's']","['e', 'a', 'o', 'h', 'n', 'r', 'd', 'u', 'm', 'w']",6,0,False
disparaged,"['d', 'i', 's', '_', 'a', 'r', 'a', '_', 'e', 'd']","['t', 'o', 'h', 'n', 'l', 'u', 'm', 'w', 'c', 'y']",8,0,False
legion,"['l', 'e', '_', 'i', 'o', 'n']","['t', 'a', 'h', 's', 'r', 'd', 'u', 'm', 'w', 'c']",5,0,False
fabricating,"['_', 'a', '_', 'r', 'i', 'c', 'a', 't', 'i', 'n', '_']","['e', 'o', 'h', 's', 'd', 'l', 'u', 'm', 'w', 'y']",8,0,False
nicking,"['n', 'i', '_', '_', 'i', 'n', '_']","['e', 't', 'a', 'o', 'h', 's', 'r', 'd', 'l', 'u']",4,0,False
actinium,"['a', 'c', 't', 'i', 'n', 'i', 'u', 'm']","['e', 'o', 'h', 's', 'r', 'd', 'l', 'w']",8,2,True
sedates,"['s', 'e', 'd', 'a', 't', 'e', 's']","['o', 'i', 'h', 'n', 'r']",7,5,True
modernistic,"['m', 'o', 'd', 'e', 'r', 'n', 'i', 's', 't', 'i', 'c']","['a', 'h', 'l', 'u', 'w']",11,5,True
grouchy,"['_', 'r', 'o', 'u', '_', 'h', '_']","['e', 't', 'a', 'i', 'n', 's', 'd', 'l', 'm', 'w']",4,0,False
goop,"['_', 'o', 'o', '_']","['e', 't', 'a', 'i', 'h', 'n', 's', 'r', 'd', 'l']",2,0,False
theorems,"['t', 'h', 'e', 'o', 'r', 'e', 'm', 's']","['a', 'i', 'n', 'd', 'l', 'u']",8,4,True
panickiest,"['_', 'a', 'n', 'i', 'c', '_', 'i', 'e', 's', 't']","['o', 'h', 'r', 'd', 'l', 'u', 'm', 'w', 'y', 'f']",8,0,False
rightfully,"['r', 'i', 'g', 'h', 't', 'f', 'u', 'l', 'l', 'y']","['e', 'a', 'o', 'n', 's', 'd', 'm', 'w', 'c']",10,1,True
esquires,"['e', 's', '_', 'u', 'i', 'r', 'e', 's']","['t', 'a', 'o', 'h', 'n', 'd', 'l', 'm', 'w', 'c']",7,0,False
violet,"['_', 'i', 'o', 'l', 'e', 't']","['a', 'h', 'n', 's', 'r', 'd', 'u', 'm', 'w', 'c']",5,0,False
