target,discovered,wrong letters,number of hits,lives remaining,game won
divorce,"['d', 'i', '_', 'o', 'r', 'c', 'e']","['s', 'n', 'a', 'l', 't', 'p', 'u', 'b', 'f', 'w']",6,0,False
purposefully,"['p', 'u', 'r', 'p', 'o', 's', 'e', 'f', 'u', 'l', 'l', 'y']","['i', 't', 'n', 'a', 'c', 'g', 'h']",12,3,True
extrusions,"['e', '_', 't', 'r', 'u', 's', 'i', 'o', 'n', 's']","['a', 'l', 'c', 'd', 'p', 'g', 'm', 'h', 'f', 'b']",9,0,False
stoppages,"['s', 't', 'o', 'p', 'p', 'a', 'g', 'e', 's']","['i', 'r', 'l', 'n', 'c', 'h', 'd', 'u', 'k']",9,1,True
hypertension,"['h', '_', 'p', 'e', 'r', 't', 'e', 'n', 's', 'i', 'o', 'n']","['a', 'c', 'l', 'u', 'g', 'd', 'm', 'v', 'w', 'b']",11,0,False
nowhere,"['n', 'o', '_', '_', 'e', 'r', 'e']","['s', 'i', 'a', 'd', 't', 'l', 'c', 'u', 'p', 'f']",5,0,False
prearranging,"['p', 'r', 'e', 'a', 'r', 'r', 'a', 'n', 'g', 'i', 'n', 'g']","['s', 't', 'l', 'o', 'd', 'c']",12,4,True
savageness,"['s', 'a', 'v', 'a', '_', 'e', 'n', 'e', 's', 's']","['i', 'r', 'l', 't', 'd', 'o', 'c', 'u', 'w', 'h']",9,0,False
winnow,"['_', 'i', 'n', 'n', 'o', '_']","['e', 's', 'a', 'g', 'u', 't', 'l', 'r', 'c', 'b']",4,0,False
shortenings,"['s', 'h', 'o', 'r', 't', 'e', 'n', 'i', 'n', 'g', 's']","['a', 'c', 'l', 'd', 'p', 'u']",11,4,True
unlikelihood,"['u', 'n', 'l', 'i', 'k', 'e', 'l', 'i', 'h', 'o', 'o', 'd']","['s', 'a', 'r', 't', 'g', 'c', 'f']",12,3,True
hams,"['h', 'a', '_', 's']","['e', 'o', 'i', 'u', 'r', 'l', 't', 'n', 'p', 'y']",3,0,False
peanut,"['p', 'e', 'a', 'n', 'u', 't']","['s', 'r', 'd', 'i', 'l', 'o', 'c', 'm']",6,2,True
tarantula,"['t', 'a', 'r', 'a', 'n', 't', 'u', 'l', 'a']","['e', 'i', 'o', 's', 'c', 'y', 'h']",9,3,True
wolfhound,"['w', 'o', 'l', 'f', 'h', 'o', 'u', 'n', 'd']","['e', 'i', 'a', 's', 'r', 't', 'p', 'c', 'm']",9,1,True
wounder,"['_', 'o', 'u', 'n', 'd', 'e', 'r']","['s', 'i', 'a', 'l', 't', 'c', 'p', 'b', 'g', 'm']",6,0,False
anthem,"['a', 'n', 't', 'h', 'e', '_']","['s', 'r', 'd', 'i', 'l', 'o', 'u', 'c', 'g', 'p']",5,0,False
vociferous,"['v', 'o', 'c', 'i', 'f', 'e', 'r', 'o', 'u', 's']","['a', 'n', 't', 'l', 'p', 'd', 'h', 'b']",10,2,True
miller,"['_', 'i', 'l', 'l', 'e', 'r']","['s', 'a', 'o', 'd', 'n', 't', 'u', 'p', 'y', 'c']",5,0,False
brisket,"['_', 'r', 'i', 's', '_', 'e', 't']","['a', 'o', 'n', 'l', 'd', 'u', 'p', 'h', 'm', 'c']",5,0,False
detachments,"['d', 'e', 't', 'a', 'c', 'h', 'm', 'e', 'n', 't', 's']","['i', 'r', 'o', 'l', 'u', 'p']",11,4,True
tick,"['t', 'i', '_', 'k']","['e', 's', 'o', 'a', 'u', 'l', 'n', 'r', 'h', 'f']",3,0,False
shims,"['s', 'h', 'i', '_', 's']","['e', 'a', 'o', 'u', 'l', 't', 'n', 'r', 'y', 'k']",4,0,False
revellings,"['r', 'e', 'v', 'e', 'l', 'l', 'i', 'n', 'g', 's']","['a', 'o', 't', 'd', 'u', 'c', 'p', 'f', 'm']",10,1,True
